country,year,scenario,co2_projected
Germany,2035,BAU,709.5854314814051
Germany,2035,Moderate Mitigation,458.27376592977237
Germany,2035,Aggressive Mitigation,325.5351000115711
Germany,2036,BAU,706.5742734139483
Germany,2036,Moderate Mitigation,449.10829061117687
Germany,2036,Aggressive Mitigation,309.2583450109925
Germany,2037,BAU,703.6574926406353
Germany,2037,Moderate Mitigation,440.1261247989533
Germany,2037,Aggressive Mitigation,293.7954277604429
Germany,2038,BAU,700.8321311388546
Germany,2038,Moderate Mitigation,431.3236023029742
Germany,2038,Aggressive Mitigation,279.10565637242075
Germany,2039,BAU,698.0953235978898
Germany,2039,Moderate Mitigation,422.6971302569148
Germany,2039,Aggressive Mitigation,265.1503735537997
Germany,2040,BAU,695.4442945130944
Germany,2040,Moderate Mitigation,414.24318765177645
Germany,2040,Aggressive Mitigation,251.89285487610968
Brazil,2025,BAU,513.9317950835122
Brazil,2025,Moderate Mitigation,473.35176
Brazil,2025,Aggressive Mitigation,458.8614
Brazil,2026,BAU,518.6454334950643
Brazil,2026,Moderate Mitigation,463.88472479999996
Brazil,2026,Aggressive Mitigation,435.91832999999997
Brazil,2027,BAU,523.2179326663107
Brazil,2027,Moderate Mitigation,454.607030304
Brazil,2027,Aggressive Mitigation,414.12241349999994
Brazil,2028,BAU,527.653518692555
Brazil,2028,Moderate Mitigation,445.51488969791995
Brazil,2028,Aggressive Mitigation,393.4162928249999
Brazil,2029,BAU,531.9562911282364
Brazil,2029,Moderate Mitigation,436.6045919039616
Brazil,2029,Aggressive Mitigation,373.74547818374987
Brazil,2030,BAU,536.1302267759087
Brazil,2030,Moderate Mitigation,427.8725000658823
Brazil,2030,Aggressive Mitigation,355.0582042745624
Brazil,2031,BAU,540.1791833617689
Brazil,2031,Moderate Mitigation,419.3150500645647
Brazil,2031,Aggressive Mitigation,337.3052940608342
Brazil,2032,BAU,544.1069031011289
Brazil,2032,Moderate Mitigation,410.92874906327336
Brazil,2032,Aggressive Mitigation,320.4400293577925
Brazil,2033,BAU,547.9170161571277
Brazil,2033,Moderate Mitigation,402.7101740820079
Brazil,2033,Aggressive Mitigation,304.4180278899029
Brazil,2034,BAU,551.6130439958802
Brazil,2034,Moderate Mitigation,394.6559706003677
Brazil,2034,Aggressive Mitigation,289.19712649540776
Brazil,2035,BAU,555.1984026411639
Brazil,2035,Moderate Mitigation,386.7628511883604
Brazil,2035,Aggressive Mitigation,274.7372701706373
Brazil,2036,BAU,558.676405831651
Brazil,2036,Moderate Mitigation,379.02759416459315
Brazil,2036,Aggressive Mitigation,261.00040666210543
Brazil,2037,BAU,562.0502680836047
Brazil,2037,Moderate Mitigation,371.44704228130126
Brazil,2037,Aggressive Mitigation,247.95038632900017
Brazil,2038,BAU,565.3231076618698
Brazil,2038,Moderate Mitigation,364.01810143567525
Brazil,2038,Aggressive Mitigation,235.55286701255017
Brazil,2039,BAU,568.4979494619034
Brazil,2039,Moderate Mitigation,356.73773940696174
Brazil,2039,Aggressive Mitigation,223.77522366192264
Brazil,2040,BAU,571.5777278055104
Brazil,2040,Moderate Mitigation,349.60298461882246
Brazil,2040,Aggressive Mitigation,212.5864624788265
United Kingdom,2025,BAU,274.48265257830866
United Kingdom,2025,Moderate Mitigation,306.64788
United Kingdom,2025,Aggressive Mitigation,297.2607
United Kingdom,2026,BAU,261.51602433928144
United Kingdom,2026,Moderate Mitigation,300.5149224
United Kingdom,2026,Aggressive Mitigation,282.397665
United Kingdom,2027,BAU,248.86450504079167
United Kingdom,2027,Moderate Mitigation,294.504623952
United Kingdom,2027,Aggressive Mitigation,268.27778175
United Kingdom,2028,BAU,236.5204370526077
United Kingdom,2028,Moderate Mitigation,288.61453147296
United Kingdom,2028,Aggressive Mitigation,254.86389266249998
